;;;
;Остатки на складах АСТАРИ;;на 25.04.2024
;1T90DFB51;Генератор бензиновый инверторный Zongshen BPB 4500 E;++
;1T90DFB91;Генератор бензиновый инверторный Zongshen BPB 9000 E;++
;1T90DF650;Генератор бензиновый инверторный Zongshen BQH 6200 E НОВИНКА!;ожидается
;1T90DF130;Генератор бензиновый Zongshen PB 1800 ;++
;1T90DF201;Генератор бензиновый Zongshen PB 2500;++
;1T90DF332;Генератор бензиновый Zongshen PB 3300;++
;1T90DF333;Генератор бензиновый Zongshen PB 3300 E ;++
;1T90DF502;Генератор бензиновый Zongshen PB 5000 ;++
;1T90DF503;Генератор бензиновый Zongshen PB 5000 E ;++
;1T90DF603;Генератор бензиновый Zongshen PB 6000 ;++
;1T90DF604;Генератор бензиновый Zongshen PB 6000 E ;++
;1T90DF705;Генератор бензиновый Zongshen PB 7000 ;++
;1T90DF706;Генератор бензиновый Zongshen PB 7000 E ;++
;1T90DF200;Генератор бензиновый Zongshen KB 2500;++
;1T90DF330;Генератор бензиновый Zongshen KB 3300 ;++
;1T90DF331;Генератор бензиновый Zongshen KB 3300E ;++
;1T90DF500;Генератор бензиновый Zongshen KB 5000;++
;1T90DF501;Генератор бензиновый Zongshen KB 5000E;++
;1T90DF600;Генератор бензиновый Zongshen KB 6000;++
;1T90DF601;Генератор бензиновый Zongshen KB 6000 E;++
;1T90DF700;Генератор бензиновый Zongshen KB 7000 ;++
;1T90DF703;Генератор бензиновый Zongshen KB 7000 E;++
;1T90DF704;Генератор бензиновый Zongshen KB 7003;++
;1T90DF733;Генератор бензиновый Zongshen KB 7003 E;++
;1T90DF800;Генератор бензиновый Zongshen KB 9000 E ;++
;1T90DF801;Генератор бензиновый Zongshen KB 9003 E ;+
;1T90DF901;Генератор бензиновый Zongshen PB 11000 E ;++
;1T90DF122;Генератор бензиновый Zongshen PB 12000 E ;++
;1T90DF123;Генератор бензиновый Zongshen PB 12003 E ;++
;1T90DF150;Генератор бензиновый Zongshen PB 15000 E ;++
;1T90DF151;Генератор бензиновый Zongshen PB 15003 E ;++
;1T90DF180;Генератор бензиновый Zongshen PB 18000 E ;++
;1T90DF181;Генератор бензиновый Zongshen PB 18003 E ;++
;1T90DF220;Генератор бензиновый Zongshen PB 22000 E ;++
;1T90DF221;Генератор бензиновый Zongshen PB 22003 E ;++
;1T90DFQ11;Генератор бензиновый Zongshen QB 12000 E;++
;1T90DFQ10;Генератор бензиновый Zongshen QB 12003 E;ожидается
;1T90DFQ75;Генератор бензиновый Zongshen QB 9000 E;ожидается
;1T90DF750;Генератор бензиновый инверторный Zongshen BQH 7500 E НОВИНКА!;ожидается
;Мотопомпы Zongshen (КНР);;
;1T90SHG15;Мотопомпа бензиновая Zongshen HG 15;ожидается
;1T90SHG20;Мотопомпа бензиновая Zongshen HG 20 ;++
;1T90SHG30;Мотопомпа бензиновая Zongshen HG 30;++
;1T90SMG20;Мотопомпа бензиновая Zongshen MG 20;ожидается
;1T90STG20;Мотопомпа бензиновая Zongshen TG 20 ;++
;1T90STG30;Мотопомпа бензиновая Zongshen TG 30;ожидается
;1T90SWG20;Мотопомпа бензиновая Zongshen WG 20;++
;1T90SWG30;Мотопомпа бензиновая Zongshen WG 30;++
;1T90SWG40;Мотопомпа бензиновая Zongshen WG 40 НОВИНКА!!!;++
;1T90SXG10;Мотопомпа бензиновая Zongshen XG 10;++
;1T90SXG15;Мотопомпа бензиновая Zongshen XG 15 ;++
;1T90SMG30;Мотопомпа бензиновая Zongshen MG 30 НОВИНКА!;ожидается
;МОТОПОМПЫ KOSHIN (Япония);;
;SEV-25L;Мотопомпа бензиновая SEV-25 L;++
;SEV-25F;Мотопомпа бензиновая SEV-25 F;наличие уточняйте
;SEV-40F;Мотопомпа бензиновая SEV-40 F;наличие уточняйте
;SEV-50X;Мотопомпа бензиновая SEV-50 X;++
;SEV-80X;Мотопомпа бензиновая SEV-80 X;++
;SEV-100X;Мотопомпа бензиновая SEV-100 X;+
;STV-50X;Мотопомпа бензиновая STV-50 X;++
;STV-80X;Мотопомпа бензиновая STV-80 X;++
;STV-100X;Мотопомпа бензиновая STV-100 X;+
;KTZ-50X;Мотопомпа бензиновая KTZ-50 X;+
;KTZ-80X;Мотопомпа бензиновая KTZ-80 X;наличие уточняйте
;KTZ-100X;Мотопомпа бензиновая KTZ-100 X;наличие уточняйте
;KTZ-100S;Мотопомпа бензиновая KTZ-100 S;наличие уточняйте
;SERV-50Z;Мотопомпа бензиновая SERV-50 Z;наличие уточняйте
;SEH-50JP ;Мотопомпа бензиновая SEH-50 JP ;наличие уточняйте
;SEH-80JP ;Мотопомпа бензиновая SEH-80 JP ;наличие уточняйте
;SEH-100X;Мотопомпа бензиновая SEH-100 X;++
;STH-50X;Мотопомпа бензиновая STH-50 X;++
;STH-80X;Мотопомпа бензиновая STH-80X;++
;STH-100X;Мотопомпа бензиновая KTZ-100 S;наличие уточняйте
;KTH-50X;Мотопомпа бензиновая KTH-50 X;++
;KTH-80X;Мотопомпа бензиновая KTH-80 X;наличие уточняйте
;KTH-80S;Мотопомпа бензиновая KTH-50 X;наличие уточняйте
;KTH-100X;Мотопомпа бензиновая KTH-100 X;++
;KTH-100S;Мотопомпа бензиновая KTH-100 S;наличие уточняйте
;SERH-50B;Мотопомпа бензиновая SERH-50 B;+
;SERH-50V;Мотопомпа бензиновая SERH-50 V;+
;SERH-50Z;Мотопомпа бензиновая SERH-50 Z;+
;PGH-50;Мотопомпа бензиновая PGH-50;++
;SEY-80D;Мотопомпа дизельная SEY-80 D;наличие уточняйте
;SEY-100D;Мотопомпа дизельная SEY-100 D;наличие уточняйте
;STY-50D;Мотопомпа дизельная STY-50 D;наличие уточняйте
;STY-80D;Мотопомпа дизельная STY-80 D;наличие уточняйте
;STY-100D;Мотопомпа дизельная STY-100 D;наличие уточняйте
;KTY-50D;Мотопомпа дизельная KTY-50 D;наличие уточняйте
