P ID,Product ID,
1428,33366,1
1429,33367,1
1430,33368,1
1431,33369,1
1432,33370,1
1433,33371,1
1434,33372,1
1435,33373,1
1436,33374,1
1437,33375,1
1438,33376,1
1439,33377,1
1440,33378,1
1441,33379,1
1442,33380,1
1443,33384,1
1444,33385,1
1445,33386,1
1446,33387,1
1447,33388,1
1448,33390,1
1449,33391,1
1450,33392,1
1451,33393,1
1452,33394,1
1453,33395,1
1454,33396,1
1455,33397,1
1456,33399,1
1458,33402,1
1459,33403,1
1460,33404,1
1461,33405,1
1462,33406,1
1463,33407,1
1464,33409,1
1465,33410,1
1466,33411,1
1467,33412,1
1468,33413,1
1469,33414,1
1470,33415,1
1471,33416,1
1472,33417,1
1473,33418,1
1474,33421,1
1475,33422,1
1476,33423,1
1477,33424,1
1478,33425,1
1479,33426,1
1480,33428,1
1481,33431,1
1482,33432,1
1483,33433,1
1484,33434,1
1485,33435,1
1486,33436,1
1487,33437,1
1488,33442,1
1489,33443,1
1490,33447,1
1491,33452,1
1492,33453,1
1493,33454,1
1494,33455,1
1495,33456,1
1496,33457,1
1497,33458,1
1498,33459,1
1499,33460,1
1500,33462,1
1501,33463,1
1502,33464,1
1503,33465,1
1504,33466,1
1505,33467,1
1506,33468,1
1507,33469,1
1508,33470,1
1509,33471,1
1510,33472,1
1511,33473,1
1512,33474,1
1513,33475,1
1514,33476,1
1515,33477,1
1516,33478,1
1517,33479,1
1518,33480,1
1519,33481,1
1520,33482,1
1521,33484,1
1522,33485,1
1523,33486,1
1524,33487,1
1525,33488,1
1526,33489,1
1527,33490,1
1528,33491,1
1529,33492,1
1530,33493,1
1531,33494,1
1532,33495,1
1533,33496,1
1534,33497,1
1535,33498,1
1536,33499,1
1537,33500,1
1538,33501,1
1539,33502,1
1540,33503,1
1541,33504,1
1542,33505,1
1543,33506,1
1544,33507,1
1545,33509,1
1546,33510,1
1547,33511,1
1548,33512,1
1549,33513,1
1550,33514,1
1551,33515,1
1552,33516,1
